ST,CB,PB,GO,CA,Methodology,Rebal.,Cost,Volatility,Return_1M,Return_3M,Return_6M,Return_9M,Return_12M
85,0,5,0,10,DCA,NO,186,6.2658599088691185,-0.17,-14.96,2.22,3.87,10.48
85,0,5,0,10,DCA,YES,186,5.669482956685674,-0.06,-14.85,3.17,3.16,9.33
85,0,0,15,0,1-OFF,NO,200,6.929696163925671,0.26,-16.65,-3.34,0.33,7.95
85,0,0,15,0,1-OFF,YES,200,7.003015975753815,0.26,-16.68,-3.25,0.39,8.29
85,0,0,15,0,DCA,NO,200,6.270220042855704,0.26,-14.94,3.71,5.53,11.96
85,0,0,15,0,DCA,YES,200,5.681185681521734,0.27,-14.93,4.56,4.79,10.64
85,0,0,10,5,1-OFF,NO,191,6.779970302272169,0.07,-16.79,-4.16,-0.82,6.75
85,0,0,10,5,1-OFF,YES,191,6.845509918632886,0.07,-16.76,-3.92,-0.6,7.18
85,0,0,10,5,DCA,NO,191,6.269180839872006,0.07,-14.97,3.21,4.99,11.51
85,0,0,10,5,DCA,YES,191,5.678683760702501,0.12,-14.92,4.1,4.28,10.25
85,0,0,5,10,1-OFF,NO,182,6.655203643908177,-0.11,-16.93,-4.97,-1.98,5.56
85,0,0,5,10,1-OFF,YES,182,6.705812946586893,-0.11,-16.83,-4.6,-1.59,6.07
85,0,0,5,10,DCA,NO,182,6.268165771920649,-0.11,-15.0,2.71,4.46,11.06
85,0,0,5,10,DCA,YES,182,5.676271877814376,-0.04,-14.9,3.64,3.76,9.87
85,0,0,0,15,1-OFF,NO,174,6.558293530288036,-0.3,-17.08,-5.78,-3.13,4.36
85,0,0,0,15,1-OFF,YES,174,6.585552990679412,-0.3,-16.91,-5.27,-2.57,4.97
85,0,0,0,15,DCA,NO,174,6.267175579473035,-0.3,-15.03,2.21,3.92,10.6
85,0,0,0,15,DCA,YES,174,5.673950981758834,-0.2,-14.89,3.18,3.25,9.49
80,20,0,0,0,1-OFF,NO,179,6.2590582866134215,-0.06,-16.15,-3.87,-1.99,4.89
80,20,0,0,0,1-OFF,YES,179,6.325291507874667,-0.06,-16.01,-3.47,-1.46,5.55
80,20,0,0,0,DCA,NO,179,6.261132382192591,-0.06,-14.55,3.27,4.06,10.11
80,20,0,0,0,DCA,YES,179,5.645936615318668,0.02,-14.42,4.01,3.34,9.04
80,15,5,0,0,1-OFF,NO,188,6.170419845330005,0.01,-15.93,-4.06,-2.13,4.71
80,15,5,0,0,1-OFF,YES,188,6.245682719999487,0.02,-15.84,-3.65,-1.59,5.36
80,15,5,0,0,DCA,NO,188,6.260017173227659,0.01,-14.38,2.98,3.92,9.95
80,15,5,0,0,DCA,YES,188,5.642864285041652,0.1,-14.27,3.75,3.19,8.85
80,15,0,5,0,1-OFF,NO,184,6.345577712100674,0.07,-15.98,-3.45,-1.08,5.89
80,15,0,5,0,1-OFF,YES,184,6.4253992384471825,0.07,-15.89,-3.12,-0.66,6.49
80,15,0,5,0,DCA,NO,184,6.262346076627557,0.07,-14.42,3.47,4.5,10.53
80,15,0,5,0,DCA,YES,184,5.64975974582258,0.12,-14.32,4.23,3.79,9.39
80,15,0,0,5,1-OFF,NO,175,6.230525300476206,-0.12,-16.13,-4.26,-2.23,4.69
80,15,0,0,5,1-OFF,YES,175,6.290489542282414,-0.12,-15.97,-3.81,-1.66,5.38
80,15,0,0,5,DCA,NO,175,6.26132345457612,-0.12,-14.45,2.97,3.97,10.08
80,15,0,0,5,DCA,YES,175,5.647341871321848,-0.03,-14.31,3.77,3.28,9.01
80,10,10,0,0,1-OFF,NO,197,6.083851063065809,0.09,-15.72,-4.26,-2.27,4.52
80,10,10,0,0,1-OFF,YES,197,6.167512621896716,0.09,-15.67,-3.82,-1.71,5.17
80,10,10,0,0,DCA,NO,197,6.2589033402122185,0.09,-14.2,2.7,3.77,9.79
80,10,10,0,0,DCA,YES,197,5.63978745868083,0.19,-14.12,3.5,3.05,8.67
80,10,5,5,0,1-OFF,NO,193,6.253499124140957,0.15,-15.77,-3.64,-1.22,5.71
80,10,5,5,0,1-OFF,YES,193,6.3429489569800825,0.15,-15.72,-3.3,-0.79,6.3
80,10,5,5,0,DCA,NO,193,6.261233598239911,0.15,-14.25,3.19,4.36,10.37
80,10,5,5,0,DCA,YES,193,5.64667656357491,0.21,-14.17,3.98,3.65,9.21
80,10,5,0,5,1-OFF,NO,184,6.143413305912257,-0.04,-15.92,-4.46,-2.37,4.51
80,10,5,0,5,1-OFF,YES,184,6.211877468916933,-0.04,-15.8,-3.98,-1.78,5.19
80,10,5,0,5,DCA,NO,184,6.26020945473302,-0.04,-14.28,2.68,3.82,9.92
80,10,5,0,5,DCA,YES,184,5.644266801352798,0.05,-14.16,3.51,3.13,8.83
80,10,0,10,0,1-OFF,NO,189,6.45308492014017,0.2,-15.82,-3.03,-0.17,6.89
80,10,0,10,0,1-OFF,YES,189,6.540839965141992,0.2,-15.77,-2.77,0.14,7.43
80,10,0,10,0,DCA,NO,189,6.263584019817369,0.2,-14.29,3.67,4.95,10.95
80,10,0,10,0,DCA,YES,189,5.653634066677399,0.23,-14.22,4.46,4.25,9.75
80,10,0,5,5,1-OFF,NO,180,6.314404386247066,0.01,-15.97,-3.84,-1.32,5.69
80,10,0,5,5,1-OFF,YES,180,6.388909941152618,0.01,-15.86,-3.45,-0.86,6.32
80,10,0,5,5,DCA,NO,180,6.2625383585443055,0.01,-14.32,3.17,4.41,10.5
80,10,0,5,5,DCA,YES,180,5.651144574236181,0.07,-14.21,3.99,3.73,9.37
80,10,0,0,10,1-OFF,NO,171,6.203933860035138,-0.17,-16.11,-4.66,-2.47,4.5
80,10,0,0,10,1-OFF,YES,171,6.256896821460669,-0.17,-15.94,-4.14,-1.85,5.21
80,10,0,0,10,DCA,NO,171,6.261517274300869,-0.17,-14.35,2.67,3.88,10.05
80,10,0,0,10,DCA,YES,171,5.648746442801934,-0.08,-14.2,3.53,3.22,8.99
80,5,15,0,0,1-OFF,NO,205,5.9994535218328995,0.17,-15.51,-4.45,-2.4,4.34
80,5,15,0,0,1-OFF,YES,205,6.090855354298669,0.17,-15.49,-4.0,-1.84,4.98
80,5,15,0,0,DCA,NO,205,6.257790898584734,0.17,-14.03,2.41,3.62,9.63
80,5,15,0,0,DCA,YES,205,5.636706147291465,0.27,-13.96,3.25,2.91,8.48
80,5,10,5,0,1-OFF,NO,201,6.163310551648356,0.22,-15.56,-3.84,-1.35,5.52
80,5,10,5,0,1-OFF,YES,201,6.261824476478672,0.22,-15.55,-3.47,-0.92,6.11
80,5,10,5,0,DCA,NO,201,6.260122477969135,0.22,-14.07,2.9,4.21,10.21
80,5,10,5,0,DCA,YES,201,5.64358884236897,0.29,-14.02,3.73,3.5,9.02
80,5,10,0,5,1-OFF,NO,193,6.058442568649655,0.04,-15.71,-4.65,-2.5,4.33
80,5,10,0,5,1-OFF,YES,193,6.1347487181008855,0.04,-15.63,-4.16,-1.91,5.0
80,5,10,0,5,DCA,NO,193,6.259096840257307,0.04,-14.1,2.4,3.68,9.76
80,5,10,0,5,DCA,YES,193,5.641187222403654,0.14,-14.01,3.26,2.99,8.64
80,5,5,10,0,1-OFF,NO,198,6.358115872099757,0.28,-15.61,-3.22,-0.3,6.7
80,5,5,10,0,1-OFF,YES,198,6.455856049810316,0.28,-15.6,-2.94,0.01,7.24
80,5,5,10,0,DCA,NO,198,6.262474328814111,0.28,-14.12,3.39,4.8,10.79
80,5,5,10,0,DCA,YES,198,5.650540114474239,0.31,-14.07,4.2,4.1,9.57
80,5,5,5,5,1-OFF,NO,189,6.223729775359554,0.09,-15.75,-4.04,-1.45,5.51
80,5,5,5,5,1-OFF,YES,189,6.307390095869731,0.09,-15.68,-3.63,-0.99,6.13
80,5,5,5,5,DCA,NO,189,6.261427081013738,0.09,-14.15,2.89,4.27,10.34
80,5,5,5,5,DCA,YES,189,5.6480586146299,0.16,-14.06,3.74,3.59,9.19
80,5,5,0,10,1-OFF,NO,180,6.11840836502357,-0.1,-15.9,-4.85,-2.6,4.31
80,5,5,0,10,1-OFF,YES,180,6.179317406803872,-0.09,-15.77,-4.31,-1.98,5.02
80,5,5,0,10,DCA,NO,180,6.2604044928731,-0.1,-14.17,2.39,3.73,9.89
80,5,5,0,10,DCA,YES,180,5.645668612567285,0.0,-14.05,3.28,3.07,8.8
80,5,0,15,0,1-OFF,NO,194,6.579761897023029,0.33,-15.66,-2.61,0.75,7.89
80,5,0,15,0,1-OFF,YES,194,6.67049892847907,0.33,-15.66,-2.42,0.94,8.37
80,5,0,15,0,DCA,NO,194,6.264845594210576,0.33,-14.16,3.88,5.39,11.37
80,5,0,15,0,DCA,YES,194,5.657559079255541,0.34,-14.12,4.68,4.7,10.11
80,5,0,10,5,1-OFF,NO,185,6.419617828017602,0.15,-15.8,-3.42,-0.4,6.69
80,5,0,10,5,1-OFF,YES,185,6.5028330398143055,0.14,-15.74,-3.1,-0.06,7.25
80,5,0,10,5,DCA,NO,185,6.2637775321959825,0.15,-14.19,3.38,4.85,10.92
80,5,0,10,5,DCA,YES,185,5.654998577506236,0.18,-14.11,4.22,4.19,9.73
80,5,0,5,10,1-OFF,NO,176,6.285071229917944,-0.04,-15.95,-4.24,-1.55,5.5
80,5,0,5,10,1-OFF,YES,176,6.353564863482451,-0.04,-15.82,-3.79,-1.06,6.14
80,5,0,5,10,DCA,NO,176,6.262733371857,-0.04,-14.22,2.88,4.32,10.47
80,5,0,5,10,DCA,YES,176,5.652528667173299,0.02,-14.1,3.75,3.67,9.35
80,5,0,0,15,1-OFF,NO,167,6.179335010664176,-0.23,-16.09,-5.05,-2.71,4.3
80,5,0,0,15,1-OFF,YES,167,6.224543190751763,-0.23,-15.9,-4.47,-2.05,5.04
80,5,0,0,15,DCA,NO,167,6.261713851782471,-0.23,-14.25,2.37,3.78,10.01
80,5,0,0,15,DCA,YES,167,5.650150307063933,-0.13,-14.09,3.29,3.16,8.97
80,0,20,0,0,1-OFF,NO,214,5.9173323240827616,0.24,-15.3,-4.64,-2.54,4.15
80,0,20,0,0,1-OFF,YES,214,6.015787845073903,0.25,-15.32,-4.17,-1.96,4.79
80,0,20,0,0,DCA,NO,214,6.256679863887462,0.24,-13.86,2.13,3.48,9.47
80,0,20,0,0,DCA,YES,214,5.6336203623469,0.36,-13.81,3.0,2.76,8.3
80,0,15,5,0,1-OFF,NO,210,6.075107765542945,0.3,-15.35,-4.03,-1.49,5.34
80,0,15,5,0,1-OFF,YES,210,6.182096465975755,0.3,-15.37,-3.65,-1.04,5.91
80,0,15,5,0,DCA,NO,210,6.259012731049871,0.3,-13.9,2.62,4.07,10.05
80,0,15,5,0,DCA,YES,210,5.640496593123494,0.38,-13.87,3.47,3.36,8.84
80,0,15,0,5,1-OFF,NO,201,5.975716554223384,0.11,-15.49,-4.84,-2.64,4.14
80,0,15,0,5,1-OFF,YES,201,6.059178864360983,0.12,-15.46,-4.33,-2.03,4.81
80,0,15,0,5,DCA,NO,201,6.257985626649757,0.11,-13.93,2.12,3.53,9.6
80,0,15,0,5,DCA,YES,201,5.638103145791515,0.22,-13.85,3.01,2.85,8.46
80,0,10,10,0,1-OFF,NO,206,6.26486984042577,0.35,-15.4,-3.42,-0.44,6.52
80,0,10,10,0,1-OFF,YES,206,6.372091135322276,0.35,-15.43,-3.12,-0.12,7.04
80,0,10,10,0,DCA,NO,206,6.261365978558819,0.35,-13.94,3.11,4.65,10.63
80,0,10,10,0,DCA,YES,206,5.647441580900914,0.4,-13.92,3.95,3.96,9.38
80,0,10,5,5,1-OFF,NO,198,6.135013710256495,0.17,-15.54,-4.23,-1.59,5.32
80,0,10,5,5,1-OFF,YES,198,6.227238967925927,0.17,-15.51,-3.8,-1.11,5.93
80,0,10,5,5,DCA,NO,198,6.260317170907675,0.17,-13.97,2.6,4.12,10.18
80,0,10,5,5,DCA,YES,198,5.6449681031962795,0.24,-13.91,3.49,3.44,9.0
80,0,10,0,10,1-OFF,NO,189,6.035096652210021,-0.02,-15.69,-5.04,-2.74,4.13
80,0,10,0,10,1-OFF,YES,189,6.103266777777996,-0.02,-15.59,-4.49,-2.1,4.83
80,0,10,0,10,DCA,NO,189,6.2592931062778145,-0.02,-14.0,2.1,3.59,9.73
80,0,10,0,10,DCA,YES,189,5.642586260680665,0.09,-13.89,3.02,2.93,8.62
80,0,5,15,0,1-OFF,NO,203,6.48242176033071,0.41,-15.45,-2.8,0.61,7.7
80,0,5,15,0,1-OFF,YES,203,6.5832765112914515,0.41,-15.48,-2.59,0.81,8.17
80,0,5,15,0,DCA,NO,203,6.26373874527355,0.41,-13.99,3.59,5.24,11.21
80,0,5,15,0,DCA,YES,203,5.654454438882139,0.42,-13.97,4.43,4.56,9.92
80,0,5,10,5,1-OFF,NO,194,6.325935678551335,0.22,-15.59,-3.62,-0.54,6.51
80,0,5,10,5,1-OFF,YES,194,6.418715784697318,0.22,-15.57,-3.28,-0.19,7.06
80,0,5,10,5,DCA,NO,194,6.262669033992898,0.22,-14.02,3.09,4.71,10.76
80,0,5,10,5,DCA,YES,194,5.65190181074591,0.26,-13.96,3.96,4.04,9.54
80,0,5,5,10,1-OFF,NO,185,6.195859205613959,0.03,-15.74,-4.43,-1.69,5.31
80,0,5,5,10,1-OFF,YES,185,6.273010352793003,0.04,-15.65,-3.96,-1.18,5.95
80,0,5,5,10,DCA,NO,185,6.261623304381853,0.03,-14.04,2.59,4.17,10.31
80,0,5,5,10,DCA,YES,185,5.649439909745705,0.11,-13.95,3.5,3.53,9.16
80,0,5,0,15,1-OFF,NO,176,6.095456193467986,-0.15,-15.88,-5.24,-2.84,4.12
80,0,5,0,15,1-OFF,YES,176,6.148032797598453,-0.15,-15.73,-4.65,-2.17,4.85
80,0,5,0,15,DCA,NO,176,6.2606022981053515,-0.15,-14.07,2.09,3.64,9.85
80,0,5,0,15,DCA,YES,176,5.647069696212403,-0.05,-13.94,3.04,3.01,8.78
80,0,0,20,0,1-OFF,NO,199,6.723780354677633,0.46,-15.5,-2.19,1.66,8.89
80,0,0,20,0,1-OFF,YES,199,6.81325871134449,0.46,-15.54,-2.07,1.74,9.31
80,0,0,20,0,DCA,NO,199,6.266130195717439,0.46,-14.03,4.08,5.83,11.79
80,0,0,20,0,DCA,YES,199,5.661534291056894,0.44,-14.03,4.9,5.16,10.47
80,0,0,15,5,1-OFF,NO,190,6.544336345272332,0.28,-15.64,-3.0,0.51,7.69
80,0,0,15,5,1-OFF,YES,190,6.631138681230507,0.27,-15.62,-2.75,0.74,8.19
80,0,0,15,5,DCA,NO,190,6.265040356952036,0.28,-14.06,3.58,5.3,11.34
80,0,0,15,5,DCA,YES,190,5.658903382346274,0.28,-14.01,4.44,4.64,10.09
80,0,0,10,10,1-OFF,NO,181,6.387889600458949,0.09,-15.79,-3.82,-0.64,6.5
80,0,0,10,10,1-OFF,YES,181,6.465906175133836,0.09,-15.7,-3.44,-0.26,7.08
80,0,0,10,10,DCA,NO,181,6.263973760227589,0.09,-14.09,3.08,4.76,10.89
